ANIO;MES;UT;UBIGEOCG;NOMDEP;NOMPRO;NOMDIS;NOMCOM;UBIGEO_LOCAL;NOMDEPLOC;NOMPROLOC;NOMDISLOC;CCPP_LOCAL;NOM_CCPP;NOMLOC;SEXO;FECNACUSU;EDAD_USU
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;F;23/09/2021;27
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;F;7/12/2020;36
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;F;1/03/2021;33
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;M;11/01/2022;23
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;F;27/05/2021;31
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;50901;AYACUCHO;SUCRE;QUEROBAMBA;509019901;BARRIOPAMPA;PSCNP_LOCAL COMUNAL BARRIO PAMPA;M;4/12/2021;24
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;50901;AYACUCHO;SUCRE;QUEROBAMBA;509019901;BARRIOPAMPA;PSCNP_LOCAL COMUNAL BARRIO PAMPA;M;4/08/2021;28
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;50901;AYACUCHO;SUCRE;QUEROBAMBA;509019901;BARRIOPAMPA;PSCNP_LOCAL COMUNAL BARRIO PAMPA;F;4/04/2022;20
2023;12;UT VRAEM;50508;AYACUCHO;LA MAR;TAMBO;TAMBO;50508;AYACUCHO;LA MAR;TAMBO;505080044;VISTA ALEGRE;URPICHA DE ORO;F;20/02/2023;10
2023;12;UT VRAEM;50508;AYACUCHO;LA MAR;TAMBO;TAMBO;50508;AYACUCHO;LA MAR;TAMBO;505080044;VISTA ALEGRE;URPICHA DE ORO;M;20/08/2022;16
