id;ubigeo_colegio_dpto;ubigeo_colegio_prov;ubigeo_colegio_dist;pais_colegio;fecha_egreso_colegio;sexo;fecha_nacimiento;especialidad_de_postulacion;fecha_postulacion;modalidad;ubigeo_direccion_dpto;ubigeo_direccion_prov;ubigeo_direccion_dist;pais_nacimiento;ubigeo_nacimiento_dpto;ubigeo_nacimiento_prov;ubigeo_nacimiento_dist;calificacion_final_postulante;estado_admitido
0d4d553f0bc25ff1dc9f365d572ebbdb;LIMA;LIMA;PUENTE PIEDRA;PERU;2017;M;2000; FISICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;RIMAC;PERU;CALLAO;PROV. CONST. DEL CALLAO;CALLAO;4.702;NO
74a878bfb9375b4cb9b2e0231374575c;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2016;M;1999;CIENCIA DE LA COMPUTACION;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;ARGENTINA;;;;4.718;NO
18e63f1c5a4bbf308a66087dd05885d6;LIMA;LIMA;INDEPENDENCIA;PERU;2013;M;1997;INGENIERIA DE SISTEMAS;2018;ORDINARIO;LIMA;LIMA;INDEPENDENCIA;PERU;LIMA;LIMA;JESUS MARIA;9.841;NO
7cb9be2aa16be7424f6c1c6cc97849e7;LIMA;LIMA;SAN MIGUEL;PERU;2016;M;2000;INGENIERIA CIVIL;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;SAN MIGUEL;PERU;LIMA;LIMA;COMAS;13.018;SI
953ec874d70b4dcdfd61cdd3fb5559cc;LIMA;LIMA;SANTIAGO DE SURCO;PERU;2016;M;2000;INGENIERIA ECONOMICA;2018;ORDINARIO;LIMA;LIMA;SAN BORJA;PERU;LIMA;LIMA;MIRAFLORES;6.707;NO
8e6fc4cff6158170e8b6b0c527e9461f;LIMA;LIMA;ATE;PERU;2013;M;1996;INGENIERIA AMBIENTAL;2018;ORDINARIO;LIMA;LIMA;ATE;PERU;HUANCAVELICA;CHURCAMPA;PAUCARBAMBA;11.617;SI
b657d92cf24fc8cfbbeecdfbe19c536f;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;2016;F;2000;INGENIERIA ECONOMICA;2018;ORDINARIO;LIMA;LIMA;LIMA;PERU;LIMA;LIMA;LIMA;9.352;NO
89492691351eca2f8176bbe11f9e86b0;LIMA;LIMA;ATE;PERU;2016;F;2000;INGENIERIA ELECTRONICA;2018;EXTRAORDINARIO1 DOS PRIMEROS ALUMNOS;LIMA;LIMA;ATE;PERU;LIMA;LIMA;EL AGUSTINO;9.851;NO
9d6c08de2d24b7d17f61e3ed54b754e8;CALLAO;PROV. CONST. DEL CALLAO;VENTANILLA;PERU;2017;M;2001;INGENIERIA MECATRONICA;2018;ORDINARIO;CALLAO;PROV. CONST. DEL CALLAO;VENTANILLA;PERU;LIMA;LIMA;JESUS MARIA;10.216;NO
c771afc91717b11e0313e5912b9009d5;LIMA;LIMA;LOS OLIVOS;PERU;2016;M;2000;INGENIERIA ELECTRICA;2018;ORDINARIO;LIMA;LIMA;COMAS;PERU;LIMA;LIMA;LIMA;11.651;NO
86f66ba0bf7faeaa3c52c65af283228a;LIMA;LIMA;LA VICTORIA;PERU;2014;M;1997;INGENIERIA DE HIGIENE Y SEGURIDADiNDUSTRIAL;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;LA VICTORIA;PERU;LIMA;LIMA;LIMA;6.137;NO
26baa371a5ffd2bd621756f07a170e08;LIMA;LIMA;ATE;PERU;2014;M;1998;INGENIERIA GEOLOGICA;2018;ORDINARIO;LIMA;LIMA;ATE;PERU;LA LIBERTAD;ASCOPE;SANTIAGO DE CAO;5.217;NO
91e59e8c6c4aa34c75ea93577f0a3aca;CUSCO;CUSCO;WANCHAQ;PERU;2017;F;2001;INGENIERIAiNDUSTRIAL;2018;EXTRAORDINARIO1 VICTIMAS DEL TERRORISMO (iniciar estudios);CUSCO;CUSCO;WANCHAQ;PERU;CUSCO;CUSCO;WANCHAQ;8.755;NO
